#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Helicobacter pylori","HE141/09",SAMEA4554835,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900120205.1,1.67038,39.1,chromosome I:NZ_LT635471.1/LT635471.1,-,1,1647,1491,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/205/GCF_900120205.1_HE141_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/205/GCA_900120205.1_HE141_09
"Helicobacter pylori","HE170/09",SAMEA4554839,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900120315.1,1.67032,39.1,chromosome I:NZ_LT635472.1/LT635472.1,-,1,1646,1487,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/315/GCF_900120315.1_HE170_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/315/GCA_900120315.1_HE170_09
"Helicobacter pylori","dRdM2addM2",SAMN08388637,PRJNA431311,"Proteobacteria","delta/epsilon subdivisions",GCA_002953555.1,1.66874,38.9,chromosome:NZ_CP026515.1/CP026515.1,-,1,1647,1510,2018/02/06,2018/03/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/555/GCF_002953555.1_ASM295355v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/555/GCA_002953555.1_ASM295355v1
"Helicobacter pylori","HE132/09",SAMEA4554832,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900120135.1,1.66817,39.1,chromosome I:NZ_LT635459.1/LT635459.1,-,1,1643,1489,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/135/GCF_900120135.1_HE132_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/135/GCA_900120135.1_HE132_09
"Helicobacter pylori","HE136/09",SAMEA4554834,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900120225.1,1.66798,39.1,chromosome I:NZ_LT635473.1/LT635473.1,-,1,1642,1474,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/225/GCF_900120225.1_HE136_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/225/GCA_900120225.1_HE136_09
"Helicobacter pylori","HE142/09",SAMEA4554836,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900120275.1,1.66794,39.1,chromosome I:NZ_LT635478.1/LT635478.1,-,1,1644,1485,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/275/GCF_900120275.1_HE142_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/275/GCA_900120275.1_HE142_09
"Helicobacter pylori","HE178/09",SAMEA4554841,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900120055.1,1.66789,39.1,chromosome I:NZ_LT635460.1/LT635460.1,-,1,1645,1481,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/055/GCF_900120055.1_HE178_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/055/GCA_900120055.1_HE178_09
"Helicobacter pylori 26695","26695",SAMN02603761,PRJNA175543,"Proteobacteria","delta/epsilon subdivisions",GCA_000307795.1,1.66789,38.9,chromosome:NC_018939.1/CP003904.1,-,1,1645,1507,2012/10/23,2017/03/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/795/GCF_000307795.1_ASM30779v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/795/GCA_000307795.1_ASM30779v1
"Helicobacter pylori Rif2","Rif2",SAMN02603763,PRJNA175625,"Proteobacteria","delta/epsilon subdivisions",GCA_000307835.1,1.66789,38.9,chromosome:NC_018938.1/CP003906.1,-,1,1639,1495,2012/10/23,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/835/GCF_000307835.1_ASM30783v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/835/GCA_000307835.1_ASM30783v1
"Helicobacter pylori Rif1","Rif1",SAMN02603762,PRJNA175544,"Proteobacteria","delta/epsilon subdivisions",GCA_000307815.1,1.66788,38.9,chromosome:NC_018937.1/CP003905.1,-,1,1640,1493,2012/10/23,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/815/GCF_000307815.1_ASM30781v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/815/GCA_000307815.1_ASM30781v1
"Helicobacter pylori","BCM-300",SAMEA33005668,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900149805.1,1.66788,39.1,chromosome I:NZ_LT837687.1/LT837687.1,-,1,1655,1491,2017/07/07,2017/07/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/149/805/GCF_900149805.1_BCM-300,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/149/805/GCA_900149805.1_BCM-300
"Helicobacter pylori","HE134/09",SAMEA4554833,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900120185.1,1.66786,39.1,chromosome I:NZ_LT635476.1/LT635476.1,-,1,1643,1484,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/185/GCF_900120185.1_HE134_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/185/GCA_900120185.1_HE134_09
"Helicobacter pylori","HE101/09",SAMEA4554831,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900120255.1,1.66782,39.1,chromosome I:NZ_LT635456.1/LT635456.1,-,1,1643,1478,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/255/GCF_900120255.1_HE101_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/255/GCA_900120255.1_HE101_09
"Helicobacter pylori","HE143/09",SAMEA4554837,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900119995.1,1.6678,39.1,chromosome I:NZ_LT635458.1/LT635458.1,-,1,1639,1465,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/119/995/GCF_900119995.1_HE143_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/119/995/GCA_900119995.1_HE143_09
"Helicobacter pylori","HE147/09",SAMEA4554838,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900120335.1,1.66771,39.1,chromosome I:NZ_LT635477.1/LT635477.1,-,1,1644,1481,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/335/GCF_900120335.1_HE147_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/335/GCA_900120335.1_HE147_09
"Helicobacter pylori 26695-1","26695-1",SAMN03268385,PRJNA270700,"Proteobacteria","delta/epsilon subdivisions",GCA_000826985.1,1.66764,38.9,chromosome:NZ_CP010435.1/CP010435.1,-,1,1642,1505,2015/01/21,2019/08/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/826/985/GCF_000826985.1_ASM82698v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/985/GCA_000826985.1_ASM82698v1
"Helicobacter pylori 26695-1","26695-1",SAMD00061015,PRJDB1447,"Proteobacteria","delta/epsilon subdivisions",GCA_000829095.1,1.66764,38.9,chromosome:NZ_AP013354.1/AP013354.1,-,1,1642,1505,2013/10/01,2019/08/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/095/GCF_000829095.1_ASM82909v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/095/GCA_000829095.1_ASM82909v1
"Helicobacter pylori","HE171/09",SAMEA4554840,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900119955.1,1.66762,39.1,chromosome I:NZ_LT635474.1/LT635474.1,-,1,1641,1486,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/119/955/GCF_900119955.1_HE171_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/119/955/GCA_900119955.1_HE171_09
