Name,Strain,PATRIC ID,NCBI Taxon ID,BioSample,BioProject,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP,Completion Date,Sequencing Centers,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,Isolation Country,Host Name
Helicobacter pylori UM037,UM037,1321939.6,1321939,SAMN02604194,PRJNA196985,GCA_000392515.3,1.69279,38.9,chromosome:NC_021217.3/CP005492.3,-,1,1675,1507,5/14/2013,3/24/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/515/GCF_000392515.3_ASM39251v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/515/GCA_000392515.3_ASM39251v3,2013-05-14T00:00:00Z,University of Malaya,Pacific Biosciences,20X,SMRT de novo v. CLR,1,,1,1694406,Malaysia,"Human, Homo sapiens"
Helicobacter pylori,173-A-EK1,210.5917,210,SAMN10053719,PRJNA490474,GCA_006337485.1,1.69072,38.8,chromosome:NZ_CP032903.1/CP032903.1,-,1,1652,1490,6/13/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/485/GCF_006337485.1_ASM633748v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/485/GCA_006337485.1_ASM633748v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1690720,Germany,Homo sapiens
Helicobacter pylori,HE93/10_v1,210.3041,210,SAMEA103957791,PRJEB17945,GCA_900176185.1,1.6828,39.1,chromosome I:NZ_LT838273.1/LT838273.1,-,1,1655,1490,7/7/2017,10/28/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/176/185/GCF_900176185.1_HE93_10,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/176/185/GCA_900176185.1_HE93_10,2017-07-07T00:00:00Z,Institute of Medical Microbiology and Hospital Epidemiology,,,,1,,1,1682800,,
Helicobacter pylori,23-A-EK1,210.5921,210,SAMN10053532,PRJNA490474,GCA_006338045.1,1.67916,38.8,chromosome:NZ_CP032908.1/CP032908.1,-,1,1644,1505,6/13/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/045/GCF_006338045.1_ASM633804v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/045/GCA_006338045.1_ASM633804v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1679162,Germany,Homo sapiens
Helicobacter pylori,7.13,210.6103,210,SAMN08055030,PRJNA419269,GCA_007836855.1,1.67674,38.8,chromosome:NZ_CP024953.1/CP024953.1,-,1,1640,1490,8/5/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/836/855/GCF_007836855.1_ASM783685v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/836/855/GCA_007836855.1_ASM783685v1,2019-08-05T00:00:00Z,Yonsei University,PacBio,579.05x,PacBio SMRT Analysis v. v2.3.0,1,,1,1676743,,
Helicobacter pylori India7,India7,907238.3,907238,SAMN02603026,PRJNA53321,GCA_000185185.1,1.67592,38.9,chromosome:NC_017372.1/CP002331.1,-,1,1629,1470,1/6/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/185/GCF_000185185.1_ASM18518v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/185/GCA_000185185.1_ASM18518v1,2011-01-06T00:00:00Z,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,,,,1,,1,1675918,,
Helicobacter pylori,B128 7.13,210.6101,210,SAMN10083778,PRJNA491697,GCA_007794935.1,1.68159,38.7901,chromosome:NZ_CP042211.1/CP042211.1; plasmid pB128:NZ_CP042212.1/CP042212.1,-,2,1646,1484,8/1/2019,8/6/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/794/935/GCF_007794935.1_ASM779493v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/794/935/GCA_007794935.1_ASM779493v1,2019-08-01T00:00:00Z,University of Birmingham,PacBio,83x,Canu v. v1.7,1,1,2,1681590,,Homo sapiens
Helicobacter pylori B128,B128,544406.7,544406,SAMN08055032,PRJNA419269,GCA_007844075.1,1.67536,38.8,chromosome:NZ_CP024951.1/CP024951.1,-,1,1642,1489,8/5/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/844/075/GCF_007844075.1_ASM784407v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/844/075/GCA_007844075.1_ASM784407v1,2019-08-05T00:00:00Z,Yonsei University,PacBio,531.59x,PacBio SMRT Analysis v. v2.3.0,1,,1,1675360,,
Helicobacter pylori,7.13_D1c,210.4133,210,SAMN06216081,PRJNA362878,GCA_002952375.1,1.67416,38.8,chromosome:NZ_CP024017.1/CP024017.1,-,1,1641,1436,2/26/2018,8/29/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/375/GCF_002952375.1_ASM295237v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/375/GCA_002952375.1_ASM295237v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,82x,VGAS v. 1,1,,1,1674163,United States,gerbil
Helicobacter pylori,7.13_D1a,210.4131,210,SAMN06216079,PRJNA362878,GCA_002952335.1,1.67412,38.8,chromosome:NZ_CP024015.1/CP024015.1,-,1,1639,1430,2/26/2018,8/29/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/335/GCF_002952335.1_ASM295233v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/335/GCA_002952335.1_ASM295233v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,115x,VGAS v. 1,1,,1,1674120,United States,gerbil
Helicobacter pylori,7.13_D1b,210.4132,210,SAMN06216080,PRJNA362878,GCA_002952355.1,1.67408,38.8,chromosome:NZ_CP024016.1/CP024016.1,-,1,1636,1451,2/26/2018,10/18/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/355/GCF_002952355.1_ASM295235v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/355/GCA_002952355.1_ASM295235v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,108x,VGAS v. 1,1,,1,1674080,United States,gerbil
Helicobacter pylori,7.13_R2b,210.4146,210,SAMN06216074,PRJNA362878,GCA_002952635.1,1.67403,38.8,chromosome:NZ_CP024075.1/CP024075.1,-,1,1636,1486,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/635/GCF_002952635.1_ASM295263v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/635/GCA_002952635.1_ASM295263v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,125x,VGAS v. 1,1,,1,1674026,United States,gerbil
Helicobacter pylori,7.13_R3a,210.4145,210,SAMN06216076,PRJNA362878,GCA_002952615.1,1.67402,38.8,chromosome:NZ_CP024077.1/CP024077.1,-,1,1636,1486,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/615/GCF_002952615.1_ASM295261v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/615/GCA_002952615.1_ASM295261v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,130x,VGAS v. 1,1,,1,1674020,United States,gerbil
Helicobacter pylori,7.13_R3b,210.4141,210,SAMN06216077,PRJNA362878,GCA_002952535.1,1.67402,38.8,chromosome:NZ_CP024078.1/CP024078.1,-,1,1637,1486,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/535/GCF_002952535.1_ASM295253v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/535/GCA_002952535.1_ASM295253v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,77x,VGAS v. 1,1,,1,1674019,United States,gerbil
Helicobacter pylori,7.13_R3c,210.414,210,SAMN06216078,PRJNA362878,GCA_002952515.1,1.67402,38.8,chromosome:NZ_CP024079.1/CP024079.1,-,1,1636,1486,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/515/GCF_002952515.1_ASM295251v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/515/GCA_002952515.1_ASM295251v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,133x,VGAS v. 1,1,,1,1674018,United States,gerbil
Helicobacter pylori,7.13_R1a,210.4148,210,SAMN06216070,PRJNA362878,GCA_002952675.1,1.67402,38.8,chromosome:NZ_CP024071.1/CP024071.1,-,1,1638,1487,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/675/GCF_002952675.1_ASM295267v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/675/GCA_002952675.1_ASM295267v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,121x,VGAS v. 1,1,,1,1674018,United States,gerbil
Helicobacter pylori,7.13_D3a,210.4137,210,SAMN06216085,PRJNA362878,GCA_002952455.1,1.67402,38.8,chromosome:NZ_CP024021.1/CP024021.1,-,1,1635,1485,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/455/GCF_002952455.1_ASM295245v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/455/GCA_002952455.1_ASM295245v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,145x,VGAS v. 1,1,,1,1674015,United States,gerbil
Helicobacter pylori,7.13_D3b,210.4138,210,SAMN06216086,PRJNA362878,GCA_002952475.1,1.67401,38.8,chromosome:NZ_CP024022.1/CP024022.1,-,1,1635,1485,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/475/GCF_002952475.1_ASM295247v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/475/GCA_002952475.1_ASM295247v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,87x,VGAS v. 1,1,,1,1674013,United States,gerbil
Helicobacter pylori,7.13_D3c,210.4139,210,SAMN06216087,PRJNA362878,GCA_002952495.1,1.67401,38.8,chromosome:NZ_CP024023.1/CP024023.1,-,1,1635,1485,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/495/GCF_002952495.1_ASM295249v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/495/GCA_002952495.1_ASM295249v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,116x,VGAS v. 1,1,,1,1674013,United States,gerbil
Helicobacter pylori,7.13_R1b,210.4147,210,SAMN06216071,PRJNA362878,GCA_002952655.1,1.67401,38.8,chromosome:NZ_CP024072.1/CP024072.1,-,1,1636,1485,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/655/GCF_002952655.1_ASM295265v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/655/GCA_002952655.1_ASM295265v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,104x,VGAS v. 1,1,,1,1674010,United States,gerbil
Helicobacter pylori,7.13_R2c,210.4142,210,SAMN06216075,PRJNA362878,GCA_002952555.1,1.67401,38.8,chromosome:NZ_CP024076.1/CP024076.1,-,1,1635,1485,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/555/GCF_002952555.1_ASM295255v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/555/GCA_002952555.1_ASM295255v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,100x,VGAS v. 1,1,,1,1674009,United States,gerbil
Helicobacter pylori,7.13_R1c,210.4144,210,SAMN06216072,PRJNA362878,GCA_002952595.1,1.67401,38.8,chromosome:NZ_CP024073.1/CP024073.1,-,1,1636,1485,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/595/GCF_002952595.1_ASM295259v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/595/GCA_002952595.1_ASM295259v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,83x,VGAS v. 1,1,,1,1674009,United States,gerbil
Helicobacter pylori,B128_1,210.4125,210,SAMN06216064,PRJNA362878,GCA_002951975.1,1.674,38.8,chromosome:NZ_CP019700.1/CP019700.1,-,1,1636,1485,2/26/2018,10/31/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/951/975/GCF_002951975.1_ASM295197v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/951/975/GCA_002951975.1_ASM295197v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,18.0x,Visual Genomics Analysis Studio v.,1,,1,1674002,United States,"Human, Homo sapiens"
Helicobacter pylori B8,B8,693745.11,693745,SAMEA2272698,PRJEA41831,GCA_000196755.1,1.68003,38.7896,chromosome:NC_014256.1/FN598874.1; plasmid HPB8p:NC_014257.1/FN665651.1,-,2,1641,1490,6/15/2010,8/26/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/755/GCF_000196755.1_ASM19675v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/755/GCA_000196755.1_ASM19675v1,2016-07-25T00:00:00Z,"CeBitec, Bielefeld University",,,,,1,1,6032,,
Helicobacter pylori B8,B8,693745.3,693745,SAMEA2272698,PRJEA41831,GCA_000196755.1,1.68003,38.7896,chromosome:NC_014256.1/FN598874.1; plasmid HPB8p:NC_014257.1/FN665651.1,-,2,1641,1490,6/15/2010,8/26/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/755/GCF_000196755.1_ASM19675v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/755/GCA_000196755.1_ASM19675v1,2010-06-15T00:00:00Z,Bielefeld Univ,,,,1,,1,1673997,,
Helicobacter pylori,7.13_R2a,210.4143,210,SAMN06216073,PRJNA362878,GCA_002952575.1,1.67395,38.8,chromosome:NZ_CP024074.1/CP024074.1,-,1,1637,1484,2/26/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/575/GCF_002952575.1_ASM295257v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/575/GCA_002952575.1_ASM295257v1,2018-02-26T00:00:00Z,Vanderbilt University Medical Center,Illumina MiSeq,132x,VGAS v. 1,1,,1,1673951,United States,gerbil
Helicobacter pylori P12,P12,570508.26,570508,SAMN02603595,PRJNA32291,GCA_000021465.1,1.68404,38.7775,chromosome:NC_011498.1/CP001217.1; plasmid HPP12:NC_011499.1/CP001218.1,-,2,1650,1468,10/30/2008,8/25/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/465/GCF_000021465.1_ASM2146v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/465/GCA_000021465.1_ASM2146v1,2016-07-26T00:00:00Z,"Max von Pettenkofer-Institut f�r Hygiene und Medizinische Mikrobiologie, Ludwig-Maximilians-Universit�t M�nchen",,,,,1,1,10225,,"Human, Homo sapiens"
Helicobacter pylori P12,P12,570508.6,570508,SAMN02603595,PRJNA32291,GCA_000021465.1,1.68404,38.7775,chromosome:NC_011498.1/CP001217.1; plasmid HPP12:NC_011499.1/CP001218.1,-,2,1650,1468,10/30/2008,8/25/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/465/GCF_000021465.1_ASM2146v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/465/GCA_000021465.1_ASM2146v1,2008-10-30T00:00:00Z,"Max von Pettenkofer-Institut f????r Hygiene und Medizinische Mikrobiologie, Ludwig-Maximilians-Universit????t M????nchen|Institut f????r Informatik, LFE Bioinformatik, Ludwig-Maximilians-Universit????t M????nchen",,,,1,1,2,1684038,,"Human, Homo sapiens"
Helicobacter pylori,dRdM1,210.4121,210,SAMN08388634,PRJNA431311,GCA_002906495.1,1.67078,38.9,chromosome:NZ_CP026325.1/CP026325.1,-,1,1647,1510,1/30/2018,2/1/2018,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/495/GCF_002906495.1_ASM290649v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/495/GCA_002906495.1_ASM290649v1,2018-01-30T00:00:00Z,"New England Biolabs, Inc.",PacBio,485x,RS_HGAP_Assembly v. 3,1,,1,1670779,,"Human, Homo sapiens"
Helicobacter pylori,HE141/09,210.3034,210,SAMEA4554835,PRJEB17945,GCA_900120205.1,1.67038,39.1,chromosome I:NZ_LT635471.1/LT635471.1,-,1,1647,1491,7/7/2017,10/28/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/205/GCF_900120205.1_HE141_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/205/GCA_900120205.1_HE141_09,2017-07-07T00:00:00Z,Institute of Medical Microbiology and Hospital Epidemiology,,,,1,,1,1670384,,
Helicobacter pylori,HE170/09,210.3039,210,SAMEA4554839,PRJEB17945,GCA_900120315.1,1.67032,39.1,chromosome I:NZ_LT635472.1/LT635472.1,-,1,1646,1487,7/7/2017,10/28/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/315/GCF_900120315.1_HE170_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/315/GCA_900120315.1_HE170_09,2017-07-07T00:00:00Z,Institute of Medical Microbiology and Hospital Epidemiology,,,,1,,1,1670321,,
Helicobacter pylori,dRdM2addM2,210.4149,210,SAMN08388637,PRJNA431311,GCA_002953555.1,1.66874,38.9,chromosome:NZ_CP026515.1/CP026515.1,-,1,1647,1510,2/6/2018,3/4/2018,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/555/GCF_002953555.1_ASM295355v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/555/GCA_002953555.1_ASM295355v1,2018-02-06T00:00:00Z,"New England Biolabs, Inc.",PacBio,414x,RS_HGAP_Assembly v. 3,1,,1,1668735,,"Human, Homo sapiens"
Helicobacter pylori,HE132/09,210.3033,210,SAMEA4554832,PRJEB17945,GCA_900120135.1,1.66817,39.1,chromosome I:NZ_LT635459.1/LT635459.1,-,1,1643,1489,7/7/2017,10/28/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/135/GCF_900120135.1_HE132_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/135/GCA_900120135.1_HE132_09,2017-07-07T00:00:00Z,Institute of Medical Microbiology and Hospital Epidemiology,,,,1,,1,1668174,,
Helicobacter pylori,HE136/09,210.3036,210,SAMEA4554834,PRJEB17945,GCA_900120225.1,1.66798,39.1,chromosome I:NZ_LT635473.1/LT635473.1,-,1,1642,1474,7/7/2017,10/28/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/225/GCF_900120225.1_HE136_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/225/GCA_900120225.1_HE136_09,2017-07-07T00:00:00Z,Institute of Medical Microbiology and Hospital Epidemiology,,,,1,,1,1667978,,
Helicobacter pylori,HE142/09,210.3038,210,SAMEA4554836,PRJEB17945,GCA_900120275.1,1.66794,39.1,chromosome I:NZ_LT635478.1/LT635478.1,-,1,1644,1485,7/7/2017,10/28/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/275/GCF_900120275.1_HE142_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/275/GCA_900120275.1_HE142_09,2017-07-07T00:00:00Z,Institute of Medical Microbiology and Hospital Epidemiology,,,,1,,1,1667936,,
