"Name","NCBI Genome","NCBI Taxonomy","PATRIC","KEGG","BioCYC","RAST Annotation","VFDB","RefSeq FTP","GenBank FTP","BioSample","BioProject","Assembly","Size (Mb)","GC%","Replicons","WGS","Scaffolds","Genes","Proteins","Release Date","Modify Date","Level","Completion Date","Sequencing Centers","Sequencing Platform","Sequencing Depth","Assembly Method","Chromosomes","Plasmids","Contigs","Genome Length","Isolation Country","Host Name"
"Helicobacter pylori 21-F-EK1","582924","210","210.5912","","","582924","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/385/GCF_006337385.1_ASM633738v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/385/GCA_006337385.1_ASM633738v1","SAMN10053522","PRJNA490474","GCA_006337385.1","1.58334","39","chromosome:NZ_CP032479.1/CP032479.1","-","1","1558","1424/582924","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1583343","Germany","Homo sapiens"
"Helicobacter pylori 23-A-EK1","582933","210","210.5921","","","582933","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/045/GCF_006338045.1_ASM633804v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/045/GCA_006338045.1_ASM633804v1","SAMN10053532","PRJNA490474","GCA_006338045.1","1.67916","38.8","chromosome:NZ_CP032908.1/CP032908.1","-","1","1644","1505/582933","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1679162","Germany","Homo sapiens"
"Helicobacter pylori 24-A-EK1","590132","210","210.5920","","","590132","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/875/GCF_006337875.1_ASM633787v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/875/GCA_006337875.1_ASM633787v1","SAMN10053562","PRJNA490474","GCA_006337875.1","1.6595","38.9","chromosome:NZ_CP032907.1/CP032907.1","-","1","1615","1477/590132","6/13/2019","10/31/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1659500","Germany","Homo sapiens"
"Helicobacter pylori 25-A-EK1","582942","210","210.5930","","","582942","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/339/235/GCF_006339235.1_ASM633923v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/339/235/GCA_006339235.1_ASM633923v1","SAMN10053592","PRJNA490474","GCA_006339235.1","1.54021","39.1","chromosome:NZ_CP032906.1/CP032906.1","-","1","1520","1392/582942","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1540214","Germany","Homo sapiens"
"Helicobacter pylori 25-A-EK9","582923","210","210.5911","","","582923","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/365/GCF_006337365.1_ASM633736v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/365/GCA_006337365.1_ASM633736v1","SAMN10053600","PRJNA490474","GCA_006337365.1","1.54014","39.2","chromosome:NZ_CP032478.1/CP032478.1","-","1","1516","1390/582923","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1540135","Germany","Homo sapiens"
"Helicobacter pylori 26695","299772","85962","85962.8","T00008/T02282","HPY","299772","yes","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1","SAMN02603995","PRJNA233","GCA_000008525.1","1.66787","38.9","chromosome:NC_000915.1/AE000511.1","-","1","1555","1445/299772","8/6/1997","8/2/2016","Complete Genome","1997-08-07T00:00:00Z","TIGR","","","","1","","1","1667867","United Kingdom","Human, Homo sapiens"
"Helicobacter pylori 26695-1","217713","1391726","1391726.3","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/826/985/GCF_000826985.1_ASM82698v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/985/GCA_000826985.1_ASM82698v1","SAMN03268385","PRJNA270700","GCA_000826985.1","1.66764","38.9","chromosome:NZ_CP010435.1/CP010435.1","-","1","1642","1505/217713","1/21/2015","8/27/2019","Complete Genome","2015-01-21T00:00:00Z","Oita University","Illumina HiSeq","680.0x","CLC NGS Cell v. April-2011","1","","1","1667638","United States","Human, Homo sapiens"
"Helicobacter pylori 26695-1","218284","1391726","1391726.4","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/095/GCF_000829095.1_ASM82909v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/095/GCA_000829095.1_ASM82909v1","SAMD00061015","PRJDB1447","GCA_000829095.1","1.66764","38.9","chromosome:NZ_AP013354.1/AP013354.1","-","1","1642","1505/218284","10/1/2013","8/27/2019","Complete Genome","2013-10-02T00:00:00Z","Oita university","HiSeq2000","747X","CLC Reference assembly v. 6.0.3","1","","1","1667638","",""
"Helicobacter pylori 26695-1CH","218286","1391728","1391728.3","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/135/GCF_000829135.1_ASM82913v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/135/GCA_000829135.1_ASM82913v1","SAMD00061017","PRJDB1449","GCA_000829135.1","1.6673","38.9","chromosome:NZ_AP013355.1/AP013355.1","-","1","1642","1504/218286","10/1/2013","8/27/2019","Complete Genome","2013-10-02T00:00:00Z","Oita university","HiSeq2000","747X","CLC Reference assembly v. 6.0.3","1","","1","1667302","",""
"Helicobacter pylori 26695-1CL","218285","1391727","1391727.3","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/115/GCF_000829115.1_ASM82911v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/115/GCA_000829115.1_ASM82911v1","SAMD00061016","PRJDB1448","GCA_000829115.1","1.66724","38.9","chromosome:NZ_AP013356.1/AP013356.1","-","1","1640","1502/218285","10/1/2013","8/27/2019","Complete Genome","2013-10-02T00:00:00Z","Oita university","HiSeq2000","747X","CLC Reference assembly v. 6.0.3","1","","1","1667239","",""
"Helicobacter pylori 26695-1MET","217714","210","210.1381","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/025/GCF_000827025.1_ASM82702v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/025/GCA_000827025.1_ASM82702v1","SAMN03268365","PRJNA270699","GCA_000827025.1","1.6673","38.9","chromosome:NZ_CP010436.1/CP010436.1","-","1","1641","1503/217714","1/21/2015","8/27/2019","Complete Genome","2015-01-21T00:00:00Z","Oita University","Illumina HiSeq","680.0x","CLC NGS Cell v. MAY-2012","1","","1","1667303","United States","Human, Homo sapiens"
"Helicobacter pylori 26695-dR","361913","210","210.4123","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/535/GCF_002906535.1_ASM290653v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/535/GCA_002906535.1_ASM290653v1","SAMN08388633","PRJNA431311","GCA_002906535.1","1.66647","38.9","chromosome:NZ_CP026326.1/CP026326.1","-","1","1645","1505/361913","1/30/2018","2/1/2018","Complete Genome","2018-01-30T00:00:00Z","New England Biolabs, Inc.","PacBio","411x","RS_HGAP_Assembly v. 3","1","","1","1666471","","Human, Homo sapiens"
"Helicobacter pylori 26695-dRdM1dM2","361912","210","210.4122","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/515/GCF_002906515.1_ASM290651v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/515/GCA_002906515.1_ASM290651v1","SAMN08388636","PRJNA431311","GCA_002906515.1","1.66688","38.9","chromosome:NZ_CP026323.1/CP026323.1","-","1","1643","1472/361912","1/30/2018","2/1/2018","Complete Genome","2018-01-30T00:00:00Z","New England Biolabs, Inc.","PacBio","422x","RS_HGAP_Assembly v. 3","1","","1","1666879","","Human, Homo sapiens"
"Helicobacter pylori 26695-dRdM2","361914","210","210.4124","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/555/GCF_002906555.1_ASM290655v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/555/GCA_002906555.1_ASM290655v1","SAMN08388635","PRJNA431311","GCA_002906555.1","1.66674","38.9","chromosome:NZ_CP026324.1/CP026324.1","-","1","1644","1506/361914","1/30/2018","2/1/2018","Complete Genome","2018-01-30T00:00:00Z","New England Biolabs, Inc.","PacBio","513x","RS_HGAP_Assembly v. 3","1","","1","1666735","","Human, Homo sapiens"
"Helicobacter pylori 26-A-EK1","582931","210","210.5919","","","582931","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/745/GCF_006337745.1_ASM633774v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/745/GCA_006337745.1_ASM633774v1","SAMN10053622","PRJNA490474","GCA_006337745.1","1.64342","38.9","chromosome:NZ_CP032905.1/CP032905.1","-","1","1640","1467/582931","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1643421","Germany","Homo sapiens"
"Helicobacter pylori 280-A-EK1","582928","210","210.5916","","","582928","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/465/GCF_006337465.1_ASM633746v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/465/GCA_006337465.1_ASM633746v1","SAMN10053739","PRJNA490474","GCA_006337465.1","1.60944","39","chromosome:NZ_CP032902.1/CP032902.1","-","1","1598","1429/582928","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1609437","Germany","Homo sapiens"
"Helicobacter pylori 29CaP","256367","210","210.1969","","","256367","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/495/GCF_001433495.1_ASM143349v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/495/GCA_001433495.1_ASM143349v1","SAMN03144734","PRJNA264984","GCA_001433495.1","1.66716","38.8","chromosome:NZ_CP012907.1/CP012907.1","-","1","1657","1445/256367","11/5/2015","10/8/2019","Complete Genome","2015-11-05T00:00:00Z","Universidad Nacional Autonoma de Mexico","454; PcBioHQ; Solexa; Solid","135.74x","MIRA v. 3.4; SMRT v. 2.3","1","","1","1667159","Mexico","Human, Homo sapiens"
"Helicobacter pylori 35A","163540","585535","585535.5","T01892","GCF_000178935-HMP","163540","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/935/GCF_000178935.2_ASM17893v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/935/GCA_000178935.2_ASM17893v2","SAMN02299423","PRJNA34603","GCA_000178935.2","1.56665","38.9","chromosome:NC_017360.1/CP002096.1","-","1","1566","1411/163540","12/29/2010","3/22/2017","Complete Genome","2010-06-15T00:00:00Z","Baylor College of Medicine","","","","1","","1","1566655","",""
"Helicobacter pylori 381-A-EK4","582927","210","210.5915","","","582927","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/445/GCF_006337445.1_ASM633744v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/445/GCA_006337445.1_ASM633744v1","SAMN10053762","PRJNA490474","GCA_006337445.1","1.57943","39.1","chromosome:NZ_CP032901.1/CP032901.1","-","1","1571","1416/582927","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1579431","Germany","Homo sapiens"
"Helicobacter pylori 381-C-EK1","582921","210","210.5909","","","582921","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/325/GCF_006337325.1_ASM633732v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/325/GCA_006337325.1_ASM633732v1","SAMN10053769","PRJNA490474","GCA_006337325.1","1.58899","39.1","chromosome:NZ_CP032476.1/CP032476.1","-","1","1583","1419/582921","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1588985","Germany","Homo sapiens"
"Helicobacter pylori 381-F-EK9","582920","210","210.5908","","","582920","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/305/GCF_006337305.1_ASM633730v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/305/GCA_006337305.1_ASM633730v1","SAMN10053787","PRJNA490474","GCA_006337305.1","1.58096","39.1","chromosome:NZ_CP032475.1/CP032475.1","-","1","1570","1412/582920","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1580965","Germany","Homo sapiens"
"Helicobacter pylori 476-A2-EK2","582919","210","210.5907","","","582919","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/285/GCF_006337285.1_ASM633728v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/285/GCA_006337285.1_ASM633728v1","SAMN10053800","PRJNA490474","GCA_006337285.1","1.64954","38.9","chromosome:NZ_CP032473.1/CP032473.1","-","1","1630","1466/582919","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1649543","Germany","Homo sapiens"
"Helicobacter pylori 476-A-EK5","582926","210","210.5914","","","582926","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/425/GCF_006337425.1_ASM633742v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/425/GCA_006337425.1_ASM633742v1","SAMN10053793","PRJNA490474","GCA_006337425.1","1.6348","38.9","chromosome:NZ_CP032900.1/CP032900.1","-","1","1623","1456/582926","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1634797","Germany","Homo sapiens"
"Helicobacter pylori 476-C-EK5","582939","210","210.5927","","","582939","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/815/GCF_006338815.1_ASM633881v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/815/GCA_006338815.1_ASM633881v1","SAMN10053808","PRJNA490474","GCA_006338815.1","1.60138","39","chromosome:NZ_CP032474.1/CP032474.1","-","1","1597","1428/582939","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1601381","Germany","Homo sapiens"
"Helicobacter pylori 478-A-EK1","582941","210","210.5929","","","582941","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/339/065/GCF_006339065.1_ASM633906v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/339/065/GCA_006339065.1_ASM633906v1","SAMN10053819","PRJNA490474","GCA_006339065.1","1.62862","38.9","chromosome:NZ_CP032899.1/CP032899.1","-","1","1602","1439/582941","6/13/2019","6/22/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1628623","Germany","Homo sapiens"
"Helicobacter pylori 479-A2-EK4","582918","210","210.5906","","","582918","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/265/GCF_006337265.1_ASM633726v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/265/GCA_006337265.1_ASM633726v1","SAMN10053852","PRJNA490474","GCA_006337265.1","1.63644","38.9","chromosome:NZ_CP032472.1/CP032472.1","-","1","1600","1455/582918","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1636444","Germany","Homo sapiens"
"Helicobacter pylori 479-C2-EK2","582938","210","210.5926","","","582938","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/685/GCF_006338685.1_ASM633868v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/685/GCA_006338685.1_ASM633868v1","SAMN10053865","PRJNA490474","GCA_006338685.1","1.63778","38.9","chromosome:NZ_CP032471.1/CP032471.1","-","1","1590","1447/582938","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1637783","Germany","Homo sapiens"
"Helicobacter pylori 479-C-EK2","582940","210","210.5928","","","582940","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/945/GCF_006338945.1_ASM633894v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/945/GCA_006338945.1_ASM633894v1","SAMN10053855","PRJNA490474","GCA_006338945.1","1.63802","38.9","chromosome:NZ_CP032898.1/CP032898.1","-","1","1600","1455/582940","6/13/2019","6/22/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1638022","Germany","Homo sapiens"
"Helicobacter pylori 51","163527","290847","290847.5","T02082","HPYL290847","163527","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/725/GCF_000011725.1_ASM1172v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/725/GCA_000011725.1_ASM1172v1","SAMN02603300","PRJNA9627","GCA_000011725.1","1.58995","38.8","chromosome:NC_017382.1/CP000012.1","-","1","1575","1417/163527","10/21/2009","3/22/2017","Complete Genome","2009-10-21T00:00:00Z","Gyeongsang National University College of Medicine and 21c Frontier Human Functional Genome Research Project|Gyeongsang National University|KRIBB, Korea, Daejeon","","","","1","","1","1589954","South Korea","Human, Homo sapiens"
"Helicobacter pylori 52","163532","684950","684950.4","T01898","HPYL684950","163532","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/805/GCF_000023805.1_ASM2380v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/805/GCA_000023805.1_ASM2380v1","SAMN02603357","PRJNA39507","GCA_000023805.1","1.56883","38.9","chromosome:NC_017354.1/CP001680.1","-","1","1549","1390/163532","10/21/2009","3/22/2017","Complete Genome","2009-10-21T00:00:00Z","Korea Research Institute of Bioscience and Biotechnology","","","","1","","1","1568826","",""
"Helicobacter pylori 5-A-EK1","582943","210","210.5931","","","582943","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/339/365/GCF_006339365.1_ASM633936v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/339/365/GCA_006339365.1_ASM633936v1","SAMN10053382","PRJNA490474","GCA_006339365.1","1.59699","39","chromosome:NZ_CP032913.1/CP032913.1","-","1","1562","1421/582943","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1596986","Germany","Homo sapiens"
"Helicobacter pylori 7.13","650022","210","210.6103","","","650022","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/836/855/GCF_007836855.1_ASM783685v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/836/855/GCA_007836855.1_ASM783685v1","SAMN08055030","PRJNA419269","GCA_007836855.1","1.67674","38.8","chromosome:NZ_CP024953.1/CP024953.1","-","1","1640","1490/650022","8/5/2019","10/19/2019","Complete Genome","2019-08-05T00:00:00Z","Yonsei University","PacBio","579.05x","PacBio SMRT Analysis v. v2.3.0","1","","1","1676743","",""
"Helicobacter pylori 7.13_D1a","364213","210","210.4131","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/335/GCF_002952335.1_ASM295233v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/335/GCA_002952335.1_ASM295233v1","SAMN06216079","PRJNA362878","GCA_002952335.1","1.67412","38.8","chromosome:NZ_CP024015.1/CP024015.1","-","1","1639","1430/364213","2/26/2018","8/29/2019","Complete Genome","2018-02-26T00:00:00Z","Vanderbilt University Medical Center","Illumina MiSeq","115x","VGAS v. 1","1","","1","1674120","United States","gerbil"
