Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1055527.3","Helicobacter pylori ELS37","Helicobacter pylori ELS37",1055527,"Complete","ELS37",,,,"MLST.Helicobacter_pylori.3048",," ",,"2012-03-23T00:00:00Z",,"PRJNA69915","SAMN02604318","GCA_000255955.1",,"CP002953.1,CP002954.1","NC_017063.1,NC_017064.1","Washington University Med. School","complete",,,,1,1,2,1669876,38.8905,1663,1576,,"gastric cancer patient from El Salvador rural area","isolate from gastric cancer patient from El Salvador rural area",,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical Helicobacter pylori isolate from gastric cancer patient from El Salvador rural area.",,100,99.3,100,,,"Good","2014-12-08T22:11:43.598Z","2015-03-16T03:17:09.594Z"
"1055528.4","Helicobacter pylori Puno120","Helicobacter pylori Puno120",1055528,"Complete","Puno120",,,,,,,,"2011-08-26T00:00:00Z",,"PRJNA69917","SAMN02604320","GCA_000224535.1",,"CP002981,CP002980","NC_017378.1,NC_017377.1","Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine","unfinished",,,,1,1,2,1637762,38.9,1612,1540,,,,,,,,,,,,,,,,,,,,,,,,,,"-",,,,,"Clinical isolate from gastric antrum from Amerindian resident of Puno region in Peru",,99.6,98.8,99.8,0.6,,"Good","2014-12-08T22:11:45.345Z","2015-03-16T03:17:09.594Z"
"1055528.7","Helicobacter pylori Puno120",,1055528,"Plasmid","Puno120",,,,,,,,"2016-07-25T00:00:00Z",,"PRJNA69917","SAMN02604320","GCA_000224535.1",,"CP002981",,"Washington University Medical School",,,,,,1,1,12783,35.77,21,15,,"Amerindian gastritis patient",,,"Peru","Peru: Puno region village in Peruvian Andes",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical isolate from gastric antrum from Amerindian resident of Puno region in Peru",,,,,,,,"2017-12-29T22:02:19.317Z","2017-12-29T22:02:19.317Z"
"1055529.4","Helicobacter pylori Puno135","Helicobacter pylori Puno135",1055529,"Complete","Puno135",,,,"MLST.Helicobacter_pylori.3042",,,,"2011-08-26T00:00:00Z",,"PRJNA69919","SAMN02604321","GCA_000224555.1",,"CP002982","NC_017379.1","Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine","unfinished",,,,1,,1,1646139,38.82,1616,1573,,,,,,,,,,,,,,,,,,,,,,,,,,"-",,,,,"Clinical isolate from gastric antrum from Amerindian resident of Puno region in Peru",,99.8,99.3,100,,,"Good","2014-12-08T22:11:45.353Z","2015-03-16T03:17:09.594Z"
"1055530.4","Helicobacter pylori SNT49","Helicobacter pylori Santal49",1055530,"Complete","SNT49",,,,"MLST.Helicobacter_pylori.3031",,,,"2011-08-26T00:00:00Z",,"PRJNA69921","SAMN02604322","GCA_000224575.1",,"CP002984,CP002983","NC_017376.1,NC_017380.1","Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine","unfinished",,,,1,1,2,1610830,39,1602,1519,,,,,,,,,,,,,,,,,,,,,,,,,,"-",,,,,"Human H. pylori isolate from Santal tribe in India",,99.7,99.2,100,,,"Good","2014-12-08T22:11:46.243Z","2015-03-16T03:17:09.594Z"
"1055530.6","Helicobacter pylori SNT49 strain Santal49",,1055530,"Plasmid","Santal49",,,,,,,,"2016-07-25T00:00:00Z",,"PRJNA69921","SAMN02604322","GCA_000224575.1",,"CP002984",,"Washington University Medical School",,,,,,1,1,3253,37.38,5,4,,"asymptomatic Santal ethnic minority patient",,,"India","India: West Bengal",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Human H. pylori isolate from Santal tribe in India",,,,,,,,"2017-12-29T22:02:19.791Z","2017-12-29T22:02:19.791Z"
"1055531.3","Helicobacter pylori Aklavik117","Helicobacter pylori Aklavik117",1055531,"Complete","Aklavik117",,,,"MLST.Helicobacter_pylori.2935",," ",,"2012-11-26T00:00:00Z",,"PRJNA69923","SAMN02604323","GCA_000315955.1",,"CP003483.1,CP003485.1,CP003484.1","NC_019560.1,NC_019562.1,NC_019561.1","Washington University Medical School","complete",,,"1",1,2,3,1636125,38.73,1617,1538,,"Amerindian; Clinical isolate","Clinical isolate from Amerindian resident in Aklavik, Canada",,"Canada","Canada: Aklavik village, Northwest Territories",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical isolate from Amerindian resident in Aklavik, Canada",,99.6,99.3,99.7,,,"Good","2014-12-08T22:11:43.415Z","2015-03-16T03:17:09.594Z"
"1055531.5","Helicobacter pylori Aklavik117",,1055531,"Plasmid","Aklavik117",,,,,,,,"2016-07-26T00:00:00Z","25883278","PRJNA69923","SAMN02604323","GCA_000315955.1",,"CP003484",,"Washington University Medical School",,,,,,1,1,18787,33,22,16,,,,,"Canada","Canada: Aklavik village, Northwest Territories",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical isolate from Amerindian resident in Aklavik, Canada",,,,,,,,"2017-12-29T22:12:10.866Z","2017-12-29T22:12:10.866Z"
"1055531.6","Helicobacter pylori Aklavik117",,1055531,"Plasmid","Aklavik117",,,,,,,,"2016-07-26T00:00:00Z","25883278","PRJNA69923","SAMN02604323","GCA_000315955.1",,"CP003485",,"Washington University Medical School",,,,,,1,1,2891,36.39,6,2,,,,,"Canada","Canada: Aklavik village, Northwest Territories",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical isolate from Amerindian resident in Aklavik, Canada",,,,,,,,"2017-12-29T22:12:11.051Z","2017-12-29T22:12:11.051Z"
"1055532.3","Helicobacter pylori Aklavik86","Helicobacter pylori Aklavik86",1055532,"Complete","Aklavik86",,,,"MLST.Helicobacter_pylori.2945",," ",,"2012-11-26T00:00:00Z",,"PRJNA69925","SAMN02604324","GCA_000317875.1",,"CP003476.1,CP003477.1,CP003478.1","NC_019563.1,NC_019564.1,NC_019565.1","Washington University Medical School","complete",,,"1",1,2,3,1507930,39.21,1491,1387,,"Amerindian; Clinical isolate","Clinical isolate from Amerindian resident in Aklavik, Canada",,"Canada","Canada: Aklavik village, Northwest Territories",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical isolate from Amerindian resident in Aklavik, Canada",,99.5,99.4,98.2,,,"Good","2014-12-08T22:11:43.424Z","2015-03-16T03:17:09.594Z"
"1055532.5","Helicobacter pylori Aklavik86",,1055532,"Plasmid","Aklavik86",,,,,,,,"2016-07-26T00:00:00Z","25883278","PRJNA69925","SAMN02604324","GCA_000317875.1",,"CP003477",,"Washington University Medical School",,,,,,1,1,12113,33.79,16,12,,,,,"Canada","Canada: Aklavik village, Northwest Territories",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical isolate from Amerindian resident in Aklavik, Canada",,,,,,,,"2017-12-29T22:11:55.826Z","2017-12-29T22:11:55.826Z"
"1055532.6","Helicobacter pylori Aklavik86",,1055532,"Plasmid","Aklavik86",,,,,,,,"2016-07-26T00:00:00Z","25883278","PRJNA69925","SAMN02604324","GCA_000317875.1",,"CP003478",,"Washington University Medical School",,,,,,1,1,1634,36.72,2,1,,,,,"Canada","Canada: Aklavik village, Northwest Territories",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical isolate from Amerindian resident in Aklavik, Canada",,,,,,,,"2017-12-29T22:12:10.911Z","2017-12-29T22:12:10.911Z"
"1111674.3","Helicobacter pylori P79","Helicobacter pylori P79",1111674,"WGS","P79",,,,"MLST.Helicobacter_pylori.181",," ",,"2012-04-16T00:00:00Z","22493206","PRJNA76567","SAMN02471468","GCA_000258825.1",,"AIHW00000000","-","Microbiology Dept, University College Cork","WGS",,,,,,215,1617653,38.9,1634,1695,,,,,"Germany","Germany",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"The Genome Sequence of Helicobater Pylori P79.",,99.2,98.2,98.2,1.3,,"Good","2014-12-08T22:11:45.269Z","2015-03-16T03:17:09.594Z"
"1127122.3","Helicobacter pylori XZ274","Helicobacter pylori XZ274",1127122,"Complete","XZ274",,,,"MLST.Helicobacter_pylori.3039",,,,"2012-05-14T00:00:00Z",,"PRJNA79003","SAMN02603962","GCA_000262655.1",,"CP003419.1,CP003420.1","NC_017926.1,NC_017919.1","Third Military Medical University","complete",,,,1,1,2,1656544,38.6067,1811,1438,,"female Tibetan gastric cancer patient's stomach","isolated from a female Tibetan gastric cancer patient's stomach in China",,"China","China",,,,,,"Human, Homo sapiens","female",,,,,,,,,,,,,,,,,,"The Genome Sequence of Helicobater Pylori XZ274.  HP XZ274  was isolated from a female Tibetan gastric cancer patient's stomach in China.",,99.6,97.2,100,5.4,,"Good","2014-12-08T22:11:46.516Z","2015-03-16T03:17:09.594Z"
"1127122.5","Helicobacter pylori XZ274",,1127122,"Plasmid","XZ274",,,,,,,,"2016-07-26T00:00:00Z","22815458","PRJNA79003","SAMN02603962","GCA_000262655.1",,"CP003420",,"Third Military Medical University",,,,,,1,1,22406,31.78,29,26,,"female gastric cancer patient","isolated from a female Tibetan gastric cancer patient's stomach in China",,"China","China",,,,,,"Human, Homo sapiens","female",,,,,,,,,,,,,,,,,,"The Genome Sequence of Helicobater Pylori XZ274. HP XZ274 was isolated from a female Tibetan gastric cancer patient's stomach in China.",,,,,,,,"2017-12-29T22:10:35.021Z","2017-12-29T22:10:35.021Z"
"1145110.4","Helicobacter pylori R018c","Helicobacter pylori R018c",1145110,"WGS","R018c",,,,,," ",,"2012-09-27T00:00:00Z",,"PRJNA83647","SAMN00997705","GCA_000299855.1","SRR499900,SRR499901","AMOQ00000000","-","IGS","WGS","Illumina; 454","53x 454; 20x Illumina","Celera Assembler v. 7.0",,,15,1646836,38.9,1679,1684,,,,,"Canada","Canada",,,,,,"Human, Homo sapiens",,,,,,,,,,"helical",,,,,,,,,"-",,99.6,98.9,100,0.3,,"Good","2014-12-08T22:11:45.361Z","2015-03-16T03:17:09.594Z"
"1145111.4","Helicobacter pylori R030b","Helicobacter pylori R030b",1145111,"WGS","R030b",,,,,," ",,"2012-09-27T00:00:00Z",,"PRJNA83649","SAMN00997706","GCA_000299695.1","SRR499902,SRR499903","AMOR00000000","-","IGS","WGS","Illumina; 454","46x 454; 20x Illumina","Celera Assembler v. 7.0",,,11,1610617,39.2,1373,1375,,,,,"Canada","Canada",,,,,,"Human, Homo sapiens",,,,,,,,,,"helical",,,,,,,,,"-",,93.5,93.2,88.7,,,"Good","2014-12-08T22:11:45.369Z","2015-03-16T03:17:09.594Z"
"1145112.3","Helicobacter pylori R32b","Helicobacter pylori R32b",1145112,"WGS","R32b",,,,,," ",,"2012-09-27T00:00:00Z",,"PRJNA83651","SAMN00997713","GCA_000299835.1","SRR499917,SRR499918","AMOS00000000","-","IGS","WGS","Illumina; 454","53x 454; 10x Illumina","Celera Assembler v. 7.0",,,10,1582461,38.9,1607,1607,,,,,"Canada","Canada",,,,,,"Human, Homo sapiens",,,,,,,,,,"helical",,,,,,,,,"-",,99.8,99.6,100,0.3,,"Good","2014-12-08T22:11:45.427Z","2015-03-16T03:17:09.594Z"
"1145113.3","Helicobacter pylori R036d","Helicobacter pylori R036d",1145113,"WGS","R036d",,,,"MLST.Helicobacter_pylori.954",," ",,"2012-09-27T00:00:00Z",,"PRJNA83653","SAMN00997707","GCA_000299715.1","SRR499904,SRR499905","AMOT00000000","-","IGS","WGS","Illumina; 454","39x 454; 10x Illumina","Celera Assembler v. 7.0",,,8,1640262,38.9,1662,1659,,,,,"Canada","Canada",,,,,,"Human, Homo sapiens",,,,,,,,,,"helical",,,,,,,,,"-",,99.9,99.3,100,0.3,,"Good","2014-12-08T22:11:45.377Z","2015-03-16T03:17:09.594Z"
"1145114.3","Helicobacter pylori R037c","Helicobacter pylori R037c",1145114,"WGS","R037c",,,,,," ",,"2012-09-27T00:00:00Z",,"PRJNA83655","SAMN00997708","GCA_000299735.1","SRR499906,SRR499907","AMOU00000000","-","IGS","WGS","Illumina; 454","47x 454; 20x Illumina","Celera Assembler v. 7.0",,,9,1614130,38.8,1631,1637,,,,,"Canada","Canada",,,,,,"Human, Homo sapiens",,,,,,,,,,"helical",,,,,,,,,"-",,99.7,99.5,99.7,,,"Good","2014-12-08T22:11:45.386Z","2015-03-16T03:17:09.594Z"
"1145115.3","Helicobacter pylori R038b","Helicobacter pylori R038b",1145115,"WGS","R038b",,,,"MLST.Helicobacter_pylori.1528",," ",,"2012-09-27T00:00:00Z",,"PRJNA83657","SAMN00997709","GCA_000299755.1","SRR499908,SRR499909","AMOV00000000","-","IGS","WGS","Illumina; 454","46x 454; 20x Illumina","Celera Assembler v. 7.0",,,14,1632757,39,1616,1626,,,,,"Canada","Canada",,,,,,"Human, Homo sapiens",,,,,,,,,,"helical",,,,,,,,,"-",,99.6,99.3,100,,,"Good","2014-12-08T22:11:45.394Z","2015-03-16T03:17:09.594Z"
"1145116.3","Helicobacter pylori R046Wa","Helicobacter pylori R046Wa",1145116,"WGS","R046Wa",,,,,," ",,"2012-09-27T00:00:00Z",,"PRJNA83659","SAMN00997710","GCA_000299775.1","SRR499910,SRR499911","AMOW00000000","-","IGS","WGS","Illumina; 454","36x 454; 10x Illumina","Celera Assembler v. 7.0",,,8,1585443,39.1,1615,1610,,,,,"Canada","Canada",,,,,,"Human, Homo sapiens",,,,,,,,,,"helical",,,,,,,,,"-",,99.9,99.3,100,,,"Good","2014-12-08T22:11:45.402Z","2015-03-16T03:17:09.594Z"
"1145117.3","Helicobacter pylori R055a","Helicobacter pylori R055a",1145117,"WGS","R055a",,,,,," ",,"2012-09-27T00:00:00Z",,"PRJNA83661","SAMN00997711","GCA_000299795.1","SRR499913,SRR499914","AMOX00000000","-","IGS","WGS","Illumina; 454","37x 454; 10x Illumina","Celera Assembler v. 7.0",,,16,1631090,38.9,1638,1626,,,,,"Canada","Canada",,,,,,"Human, Homo sapiens",,,,,,,,,,"helical",,,,,,,,,"-",,99.4,99,100,0.1,,"Good","2014-12-08T22:11:45.410Z","2015-03-16T03:17:09.594Z"
"1145118.3","Helicobacter pylori R056a","Helicobacter pylori R056a",1145118,"WGS","R056a",,,,,," ",,"2012-09-27T00:00:00Z",,"PRJNA83663","SAMN00997712","GCA_000299815.1","SRR499915,SRR499916","AMOY00000000","-","IGS","WGS","Illumina; 454","38x 454; 20x Illumina","Celera Assembler v. 7.0",,,13,1646110,38.9,1669,1652,,,,,"Canada","Canada",,,,,,"Human, Homo sapiens",,,,,,,,,,"helical",,,,,,,,,"-",,99.6,99.1,100,0.3,,"Good","2014-12-08T22:11:45.418Z","2015-03-16T03:17:09.594Z"
"1156914.3","Helicobacter pylori NAB47","Helicobacter pylori NAB47",1156914,"WGS","NAB47",,,,,," ",,"2012-03-26T00:00:00Z","23045484","PRJNA85617","SAMN02471794","GCA_000256075.2",,"AJFA00000000","-","University of Hyderabad","WGS",,,,,,385,1581359,39.2,1560,,,,,"2005","India","India: Bangalore",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Whole genome analysis of Helicobacter pylori NAB47.",,97.8,97.6,96,0.6,,"Good","2014-12-08T22:11:45.055Z","2015-03-16T03:17:09.594Z"
"1156915.3","Helicobacter pylori NAD1","Helicobacter pylori NAD1",1156915,"WGS","NAD1",,,,,," ",,"2012-03-26T00:00:00Z","23045484","PRJNA85619","SAMN02471796","GCA_000256035.2",,"AJGJ00000000","-","University of Hyderabad","WGS",,,,,,400,1593185,38.9,1569,,,,,"2005","India","India: Delhi",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Whole genome sequencing of Helicobacter pylori NAD1.",,98,97.9,95.8,,,"Good","2014-12-08T22:11:45.064Z","2015-03-16T03:17:09.594Z"
"1159019.3","Helicobacter pylori GAM100Ai","Helicobacter pylori GAM100Ai",1159019,"WGS","GAM100Ai",,,,"MLST.Helicobacter_pylori.2039",," ",,"2012-11-05T00:00:00Z",,"PRJNA89209","SAMN02436927","GCA_000310005.1",,"ANFP00000000","-","Washington University","WGS","Illumina","90x","Velvet v. 1.1.04",,,80,1637801,39.29,1623,1669,,,,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Human Microbiome Project (HMP) reference genome",,99.3,99.1,99.8,0.3,,"Good","2014-12-08T22:11:43.653Z","2015-03-16T03:17:09.594Z"
"1159020.3","Helicobacter pylori GAM101Biv","Helicobacter pylori GAM101Biv",1159020,"WGS","GAM101Biv",,,,"MLST.Helicobacter_pylori.2041",," ",,"2013-03-07T00:00:00Z",,"PRJNA89211","SAMN02436925","GCA_000344945.1",,"APCW00000000","-","Washington University","WGS","Illumina","91x","Velvet v. 1.1.04",,,78,1615843,39.3,1611,1661,,"gastrointestinal tract",,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"-",,99.8,99.6,100,,,"Good","2014-12-08T22:11:43.661Z","2015-03-16T03:17:09.594Z"
"1159021.3","Helicobacter pylori GAM103Bi","Helicobacter pylori GAM103Bi",1159021,"WGS","GAM103Bi",,,,"MLST.Helicobacter_pylori.2042",," ",,"2013-03-07T00:00:00Z",,"PRJNA89213","SAMN02436854","GCA_000344965.1",,"APCX00000000","-","Washington University","WGS","Illumina","90x","Velvet v. 1.1.04",,,71,1624174,39.2,1616,1659,,"gastrointestinal tract",,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"-",,99.8,99.7,100,,,"Good","2014-12-08T22:11:43.669Z","2015-03-16T03:17:09.594Z"
"1159022.3","Helicobacter pylori GAM105Ai","Helicobacter pylori GAM105Ai",1159022,"WGS","GAM105Ai",,,,"MLST.Helicobacter_pylori.2043",," ",,"2013-03-07T00:00:00Z",,"PRJNA89215","SAMN02436855","GCA_000344985.1",,"APCY00000000","-","Washington University","WGS","Illumina","88x","Velvet v. 1.1.04",,,82,1671331,39.2,1680,1723,,"gastrointestinal tract",,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"-",,99.9,99.5,100,,,"Good","2014-12-08T22:11:43.677Z","2015-03-16T03:17:09.594Z"
"1159023.3","Helicobacter pylori GAM112Ai","Helicobacter pylori GAM112Ai",1159023,"WGS","GAM112Ai",,,,"MLST.Helicobacter_pylori.2034",," ",,"2013-03-07T00:00:00Z",,"PRJNA89217","SAMN02436856","GCA_000345005.1",,"APCZ00000000","-","Washington University","WGS","Illumina","90x","Velvet v. 1.1.04",,,136,1625200,39.3,1621,1710,,"gastrointestinal tract",,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"-",,99.5,99.2,100,0.6,,"Good","2014-12-08T22:11:43.686Z","2015-03-16T03:17:09.594Z"
"1159024.3","Helicobacter pylori GAM114Ai","Helicobacter pylori GAM114Ai",1159024,"WGS","GAM114Ai",,,,"MLST.Helicobacter_pylori.2045",," ",,"2013-03-07T00:00:00Z",,"PRJNA89219","SAMN02436857","GCA_000345025.1",,"APDA00000000","-","Washington University","WGS","Illumina","90x","Velvet v. 1.1.04",,,64,1622655,39.3,1603,1656,,"gastrointestinal tract",,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"-",,99.7,99.5,100,0.6,,"Good","2014-12-08T22:11:43.694Z","2015-03-16T03:17:09.594Z"
