NCBI Genome Assembly ID,Assembly
254351,GCA_000274645.2
163718,GCA_000274925.1
254360,GCA_000275025.2
254362,GCA_000275145.2
163715,GCA_000274865.1
163678,GCA_000274125.1
163724,GCA_000275045.1
163727,GCA_000275105.1
163695,GCA_000274465.1
163741,GCA_000275385.1
163684,GCA_000274245.1
163775,GCA_000299715.1
163692,GCA_000274405.1
163687,GCA_000274305.1
163663,GCA_000273825.1
254348,GCA_000274485.2
254357,GCA_000274965.2
163683,GCA_000274225.1
163679,GCA_000274145.1
163685,GCA_000274265.1
254377,GCA_000275585.2
163680,GCA_000274165.1
163782,GCA_000299855.1
163731,GCA_000275185.1
163709,GCA_000274745.1
254347,GCA_000274445.2
163736,GCA_000275285.1
254358,GCA_000274985.2
254349,GCA_000274525.2
254343,GCA_000274185.2
254371,GCA_000275445.2
163785,GCA_000349465.1
254369,GCA_000275405.2
254363,GCA_000275225.2
391937,GCA_900451055.1
254370,GCA_000275425.2
163700,GCA_000274565.1
163726,GCA_000275085.1
163686,GCA_000274285.1
254356,GCA_000274945.2
163732,GCA_000275205.1
163711,GCA_000274785.1
163717,GCA_000274905.1
163662,GCA_000273805.1
254367,GCA_000275345.2
254366,GCA_000275305.2
163779,GCA_000299795.1
254345,GCA_000274385.2
163708,GCA_000274725.1
163787,GCA_000349505.1
163702,GCA_000274605.1
254374,GCA_000275525.2
163778,GCA_000299775.1
254353,GCA_000274825.2
163780,GCA_000299815.1
163671,GCA_000273985.1
163859,GCA_000476295.1
435189,GCA_004013765.1
163777,GCA_000299755.1
163730,GCA_000275165.1
163774,GCA_000299695.1
163786,GCA_000349485.1
163664,GCA_000273845.1
163888,GCA_000476895.1
254344,GCA_000274205.2
254340,GCA_000274005.2
410925,GCA_003639455.1
163670,GCA_000273965.1
163675,GCA_000274065.1
241442,GCA_001189735.1
435106,GCA_004012125.1
435209,GCA_004014185.1
163776,GCA_000299735.1
455519,GCA_004323235.1
435122,GCA_004012445.1
163707,GCA_000274705.1
254339,GCA_000273865.2
254372,GCA_000275485.2
455526,GCA_004323375.1
435229,GCA_004014585.1
163855,GCA_000476215.1
254342,GCA_000274085.2
455521,GCA_004323275.1
321881,GCA_002204015.1
410947,GCA_003639215.1
410935,GCA_003639795.1
553414,GCA_005796135.1
410794,GCA_003636205.1
394560,GCA_003382545.1
435223,GCA_004014475.1
163861,GCA_000476355.1
299790,GCA_000438495.1
435146,GCA_004012915.1
163690,GCA_000274365.1
243224,GCA_001248035.1
455524,GCA_004323335.1
254361,GCA_000275065.2
163728,GCA_000275125.1
243222,GCA_001248015.1
410829,GCA_003636905.1
239776,GCA_001185035.1
163666,GCA_000273885.1
322335,GCA_002209285.1
410869,GCA_003637695.1
163669,GCA_000273945.1
410893,GCA_003638175.1
296664,GCA_001446435.2
163910,GCA_000521245.1
410787,GCA_003636065.1
435124,GCA_004012475.1
435176,GCA_004013525.1
410933,GCA_003639685.1
410940,GCA_003639985.1
435224,GCA_004014495.1
163592,GCA_000287775.1
241440,GCA_001189685.1
163668,GCA_000273925.1
435180,GCA_004013605.1
163667,GCA_000273905.1
257198,GCA_000444195.2
163875,GCA_000476635.1
410906,GCA_003638425.1
301312,GCA_001940015.1
410868,GCA_003637685.1
410802,GCA_003636355.1
410835,GCA_003637025.1
435175,GCA_004013505.1
435218,GCA_004014375.1
435127,GCA_004012555.1
694155,GCA_008681515.1
435197,GCA_004013945.1
435151,GCA_004013025.1
295688,GCA_001901635.1
296667,GCA_001538305.2
410908,GCA_003638475.1
239777,GCA_001185045.1
241443,GCA_001189755.1
410880,GCA_003637925.1
239775,GCA_001185025.1
234356,GCA_001051485.1
592611,GCA_006440105.1
410791,GCA_003636145.1
410924,GCA_003639445.1
304179,GCA_001976125.1
163889,GCA_000476915.1
410876,GCA_003637835.1
241445,GCA_001189775.1
163697,GCA_000274505.1
341193,GCA_002532725.1
410833,GCA_003636985.1
301320,GCA_001940035.1
410808,GCA_003636485.1
163703,GCA_000274625.1
356645,GCA_002832595.1
241446,GCA_001189815.1
435114,GCA_004012265.1
301311,GCA_001939635.1
435132,GCA_004012655.1
410949,GCA_003639305.1
410922,GCA_003639405.1
356647,GCA_002832615.1
163830,GCA_000475715.1
410885,GCA_003638025.1
410831,GCA_003636935.1
163860,GCA_000476325.1
435183,GCA_004013655.1
435233,GCA_004014675.1
234357,GCA_001051495.1
301310,GCA_001939585.1
241447,GCA_001189835.1
435126,GCA_004012535.1
163834,GCA_000475795.1
435110,GCA_004012215.1
163738,GCA_000275325.1
435150,GCA_004013015.1
435119,GCA_004012375.1
410929,GCA_003639565.1
211387,GCA_000766035.1
410846,GCA_003637235.1
435143,GCA_004012865.1
163873,GCA_000476595.1
435137,GCA_004012755.1
246429,GCA_001275165.1
435219,GCA_004014385.1
435109,GCA_004012155.1
410765,GCA_003635615.1
410851,GCA_003637345.1
356642,GCA_002832525.1
435108,GCA_004012145.1
435222,GCA_004014435.1
435221,GCA_004014415.1
435136,GCA_004012735.1
410816,GCA_003636645.1
435210,GCA_004014195.1
372671,GCA_003059545.1
163864,GCA_000476415.1
410946,GCA_003640155.1
299791,GCA_000444175.1
435116,GCA_004012325.1
582026,GCA_901687245.1
582025,GCA_901687255.1
296660,GCA_001446315.2
410769,GCA_003635705.1
410870,GCA_003637715.1
435184,GCA_004013665.1
410767,GCA_003635655.1
435125,GCA_004012515.1
410840,GCA_003637115.1
410873,GCA_003637775.1
410814,GCA_003636605.1
435217,GCA_004014335.1
410923,GCA_003639425.1
410896,GCA_003638235.1
372639,GCA_003058845.1
435105,GCA_004012115.1
297645,GCA_001484155.2
435202,GCA_004014045.1
163833,GCA_000475775.1
410800,GCA_003636325.1
410904,GCA_003638405.1
163899,GCA_000477135.1
307144,GCA_001998285.1
435133,GCA_004012665.1
163762,GCA_000285235.1
243223,GCA_001248025.1
307146,GCA_001998405.1
301313,GCA_001940025.1
410911,GCA_003638535.1
163884,GCA_000476815.1
394558,GCA_003382505.1
410772,GCA_003635765.1
163831,GCA_000475735.1
241441,GCA_001189695.1
410853,GCA_003637375.1
592630,GCA_006439645.1
694156,GCA_008681485.1
435155,GCA_004013115.1
410832,GCA_003636965.1
435168,GCA_004013365.1
356621,GCA_002832115.1
356619,GCA_002832055.1
163865,GCA_000476435.1
299789,GCA_000438475.1
356609,GCA_002831855.1
410903,GCA_003638375.1
163874,GCA_000476615.1
410871,GCA_003637745.1
410884,GCA_003637995.1
455518,GCA_004323225.1
356630,GCA_002832285.1
410889,GCA_003638105.1
455534,GCA_004323545.1
435191,GCA_004013825.1
163820,GCA_000475515.1
435206,GCA_004014115.1
435128,GCA_004012565.1
356629,GCA_002832275.1
435172,GCA_004013435.1
356611,GCA_002831915.1
356627,GCA_002832215.1
163838,GCA_000475875.1
410918,GCA_003639245.1
229020,GCA_000966875.1
163870,GCA_000476535.1
435187,GCA_004013745.1
410888,GCA_003638085.1
410886,GCA_003638045.1
435118,GCA_004012365.1
435201,GCA_004014025.1
455525,GCA_004323355.1
356638,GCA_002832435.1
410856,GCA_003637435.1
410883,GCA_003637985.1
592640,GCA_006440315.1
307137,GCA_001998385.1
410941,GCA_003640025.1
435107,GCA_004012135.1
410863,GCA_003637575.1
243225,GCA_001248105.1
410948,GCA_003639285.1
163941,GCA_000689075.1
410809,GCA_003636505.1
372636,GCA_003058785.1
241438,GCA_001189655.1
435131,GCA_004012635.1
410919,GCA_003639265.1
321338,GCA_002191215.1
410805,GCA_003636415.1
372638,GCA_003058825.1
592619,GCA_006440345.1
592624,GCA_006438525.1
410938,GCA_003639855.1
592637,GCA_006440145.1
455530,GCA_004323455.1
423556,GCA_003815515.1
341655,GCA_002533195.1
435152,GCA_004013055.1
410784,GCA_003636005.1
592593,GCA_006438475.1
435216,GCA_004014305.1
163835,GCA_000475815.1
410934,GCA_003639735.1
435164,GCA_004013295.1
410823,GCA_003636785.1
592618,GCA_006440335.1
205024,GCA_000740095.1
301319,GCA_001940185.1
410861,GCA_003637545.1
163590,GCA_000287735.1
410775,GCA_003635825.1
301309,GCA_001939315.1
410781,GCA_003635945.1
410859,GCA_003637505.1
435140,GCA_004012785.1
435171,GCA_004013415.1
455529,GCA_004323445.1
410836,GCA_003637045.1
341670,GCA_002533495.1
410860,GCA_003637515.1
163842,GCA_000475955.1
410812,GCA_003636555.1
410817,GCA_003636665.1
435165,GCA_004013305.1
163752,GCA_000285035.1
410847,GCA_003637265.1
410821,GCA_003636745.1
241439,GCA_001189675.1
163927,GCA_000604265.1
394559,GCA_003382515.1
296661,GCA_001446325.2
205025,GCA_000740115.1
410867,GCA_003637665.1
163880,GCA_000476735.1
163847,GCA_000476055.1
410807,GCA_003636455.1
341717,GCA_002534435.1
410824,GCA_003636805.1
296672,GCA_001446375.2
410931,GCA_003639665.1
410902,GCA_003638355.1
296662,GCA_001446385.2
163783,GCA_000333835.1
592599,GCA_006439745.1
435215,GCA_004014295.1
435179,GCA_004013595.1
321880,GCA_002203985.1
410897,GCA_003638245.1
296665,GCA_001484135.2
307143,GCA_001998245.1
410932,GCA_003639675.1
410901,GCA_003638345.1
410762,GCA_003635555.1
372658,GCA_003059245.1
435157,GCA_004013155.1
356607,GCA_002831835.1
307140,GCA_001998045.1
435123,GCA_004012465.1
410811,GCA_003636545.1
435120,GCA_004012405.1
435135,GCA_004012705.1
410898,GCA_003638285.1
341654,GCA_002533175.1
435194,GCA_004013875.1
435156,GCA_004013135.1
301318,GCA_001940175.1
163866,GCA_000476455.1
163851,GCA_000476135.1
163848,GCA_000476075.1
410820,GCA_003636725.1
163844,GCA_000475995.1
435170,GCA_004013405.1
435153,GCA_004013065.1
410943,GCA_003640095.1
435208,GCA_004014175.1
592607,GCA_006439955.1
410854,GCA_003637405.1
410857,GCA_003637465.1
410942,GCA_003640045.1
356612,GCA_002831925.1
356613,GCA_002831955.1
435113,GCA_004012255.1
410815,GCA_003636615.1
592615,GCA_006440215.1
435196,GCA_004013925.1
410865,GCA_003637625.1
435230,GCA_004014595.1
410895,GCA_003638225.1
410825,GCA_003636825.1
410842,GCA_003637165.1
410875,GCA_003637825.1
163898,GCA_000477115.1
435138,GCA_004012765.1
410843,GCA_003637175.1
410890,GCA_003638115.1
410874,GCA_003637805.1
307142,GCA_001998205.1
410900,GCA_003638305.1
435204,GCA_004014095.1
163868,GCA_000476495.1
299796,GCA_000444385.1
163845,GCA_000476015.1
341190,GCA_002532675.1
592606,GCA_006439915.1
410838,GCA_003637065.1
435154,GCA_004013075.1
356635,GCA_002832395.1
410822,GCA_003636765.1
694157,GCA_008681415.1
410804,GCA_003636395.1
410866,GCA_003637635.1
356644,GCA_002832575.1
296666,GCA_001484185.2
304178,GCA_001976105.1
410830,GCA_003636925.1
410795,GCA_003636215.1
372637,GCA_003058805.1
435147,GCA_004012955.1
435121,GCA_004012435.1
341683,GCA_002533755.1
163823,GCA_000475575.1
410960,GCA_003639905.1
435195,GCA_004013905.1
356628,GCA_002832255.1
296668,GCA_001542465.2
163881,GCA_000476755.1
410801,GCA_003636335.1
410910,GCA_003638525.1
410957,GCA_003639745.1
435203,GCA_004014075.1
296663,GCA_001446395.2
356636,GCA_002832405.1
301314,GCA_001940085.1
410849,GCA_003637295.1
410793,GCA_003636165.1
307145,GCA_001998295.1
435214,GCA_004014285.1
239778,GCA_001185095.1
410891,GCA_003638135.1
435225,GCA_004014505.1
410763,GCA_003635585.1
410828,GCA_003636885.1
341719,GCA_002534455.1
410855,GCA_003637415.1
410806,GCA_003636445.1
296671,GCA_001446295.2
435227,GCA_004014545.1
435181,GCA_004013625.1
163763,GCA_000285255.1
410792,GCA_003636155.1
455527,GCA_004323385.1
435169,GCA_004013395.1
410921,GCA_003639385.1
372674,GCA_003059715.1
435199,GCA_004013975.1
301315,GCA_001940095.1
410803,GCA_003636385.1
341679,GCA_002533675.1
163895,GCA_000477055.1
341716,GCA_002534395.1
241444,GCA_001189765.1
592592,GCA_006438465.1
410878,GCA_003637875.1
163901,GCA_000477175.1
410786,GCA_003636035.1
410852,GCA_003637365.1
296659,GCA_001446305.2
341661,GCA_002533295.1
296552,GCA_001542385.2
435111,GCA_004012225.1
410914,GCA_003638595.1
423559,GCA_003815595.1
163893,GCA_000476995.1
410959,GCA_003639865.1
299797,GCA_000444495.1
239774,GCA_001185015.1
299793,GCA_000444325.1
356639,GCA_002832475.1
694158,GCA_008681235.1
435188,GCA_004013755.1
435177,GCA_004013545.1
163879,GCA_000476715.1
435130,GCA_004012605.1
435220,GCA_004014395.1
553413,GCA_005796125.1
356620,GCA_002832075.1
410899,GCA_003638295.1
296670,GCA_001420425.2
356640,GCA_002832485.1
410961,GCA_003639935.1
356616,GCA_002831995.1
592625,GCA_006438535.1
372677,GCA_003059965.1
592617,GCA_006440285.1
410818,GCA_003636675.1
410850,GCA_003637305.1
435149,GCA_004012985.1
356623,GCA_002832145.1
410764,GCA_003635595.1
341693,GCA_002533925.1
163923,GCA_000591335.1
341689,GCA_002533855.1
423557,GCA_003815525.1
410826,GCA_003636845.1
454339,GCA_004307275.1
163869,GCA_000476515.1
341642,GCA_002532915.1
277350,GCA_900087505.1
372652,GCA_003059125.1
435226,GCA_004014535.1
410944,GCA_003640105.1
592623,GCA_006438455.1
455531,GCA_004323475.1
435160,GCA_004013205.1
356646,GCA_002832605.1
356625,GCA_002832175.1
410887,GCA_003638055.1
410776,GCA_003635845.1
372656,GCA_003059195.1
435193,GCA_004013865.1
299792,GCA_000444305.1
163854,GCA_000476195.1
455532,GCA_004323515.1
301316,GCA_001940115.1
163818,GCA_000475475.1
163905,GCA_000477255.1
592605,GCA_006439905.1
410834,GCA_003636995.1
163902,GCA_000477195.1
341668,GCA_002533455.1
163867,GCA_000476475.1
410909,GCA_003638485.1
410768,GCA_003635665.1
410788,GCA_003636085.1
410879,GCA_003637885.1
410774,GCA_003635795.1
341653,GCA_002533145.1
372653,GCA_003059145.1
163892,GCA_000476975.1
277351,GCA_900087515.1
592590,GCA_006438415.1
592621,GCA_006440425.1
410771,GCA_003635735.1
163812,GCA_000470075.1
410928,GCA_003639545.1
356626,GCA_002832195.1
372678,GCA_003059985.1
410882,GCA_003637965.1
410864,GCA_003637605.1
455520,GCA_004323255.1
163839,GCA_000475895.1
341646,GCA_002532995.1
356615,GCA_002831985.1
410841,GCA_003637135.1
341669,GCA_002533465.1
341684,GCA_002533765.1
410839,GCA_003637105.1
163829,GCA_000475695.1
163863,GCA_000476395.1
372681,GCA_003060065.1
435166,GCA_004013315.1
356631,GCA_002832295.1
356614,GCA_002831975.1
341704,GCA_002534175.1
410917,GCA_003639195.1
410905,GCA_003638415.1
372655,GCA_003059185.1
372663,GCA_003059335.1
299794,GCA_000444345.1
410907,GCA_003638465.1
163814,GCA_000470355.1
163886,GCA_000476855.1
356608,GCA_002831845.1
163883,GCA_000476795.1
435134,GCA_004012695.1
356648,GCA_002832645.1
410930,GCA_003639575.1
592635,GCA_006440055.1
163811,GCA_000469985.1
163904,GCA_000477235.1
356632,GCA_002832325.1
356622,GCA_002832135.1
341686,GCA_002533815.1
163849,GCA_000476095.1
592628,GCA_006438625.1
163942,GCA_000689095.1
163943,GCA_000689115.1
277353,GCA_900087545.1
163944,GCA_000689135.1
307148,GCA_001999865.1
410964,GCA_003640055.1
592633,GCA_006439995.1
372643,GCA_003058925.1
410799,GCA_003636285.1
592608,GCA_006439965.1
361266,GCA_002900175.1
163591,GCA_000287755.1
592626,GCA_006438545.1
435231,GCA_004014605.1
163836,GCA_000475835.1
163882,GCA_000476775.1
435158,GCA_004013175.1
410926,GCA_003639485.1
410952,GCA_003639525.1
694159,GCA_008681395.1
163827,GCA_000475655.1
372679,GCA_003060025.1
435182,GCA_004013635.1
410858,GCA_003637485.1
163903,GCA_000477215.1
163840,GCA_000475915.1
423558,GCA_003815575.1
341708,GCA_002534235.1
435173,GCA_004013465.1
592612,GCA_006440125.1
592634,GCA_006440005.1
301317,GCA_001940145.1
410766,GCA_003635645.1
410845,GCA_003637225.1
410894,GCA_003638195.1
307141,GCA_001998125.1
163939,GCA_000689035.1
163909,GCA_000513515.1
163897,GCA_000477095.1
372645,GCA_003058965.1
410790,GCA_003636105.1
163846,GCA_000476035.1
277354,GCA_900087575.1
410881,GCA_003637935.1
410956,GCA_003639725.1
372644,GCA_003058945.1
592614,GCA_006440195.1
372646,GCA_003058985.1
698586,GCA_008728675.1
410965,GCA_003640085.1
410837,GCA_003637055.1
410939,GCA_003639915.1
277383,GCA_900088135.1
277355,GCA_900087585.1
277388,GCA_900088195.1
277349,GCA_900087495.1
277367,GCA_900087945.1
277403,GCA_900088345.1
299800,GCA_000444785.1
341715,GCA_002534385.1
410848,GCA_003637285.1
694160,GCA_008681315.1
277359,GCA_900087755.1
410872,GCA_003637755.1
592631,GCA_006439795.1
163890,GCA_000476935.1
455523,GCA_004323315.1
163900,GCA_000477155.1
410877,GCA_003637865.1
410770,GCA_003635715.1
277397,GCA_900088285.1
410912,GCA_003638565.1
435162,GCA_004013225.1
217371,GCA_000824865.1
356643,GCA_002832545.1
163937,GCA_000688995.1
410789,GCA_003636095.1
163857,GCA_000476255.1
410785,GCA_003636025.1
163918,GCA_000591235.1
356641,GCA_002832505.1
163862,GCA_000476375.1
296553,GCA_001542495.2
296669,GCA_001542505.2
307138,GCA_001997965.1
356618,GCA_002832045.1
410955,GCA_003639635.1
307147,GCA_001999845.1
341647,GCA_002533025.1
163813,GCA_000470135.1
217374,GCA_000824925.1
341692,GCA_002533915.1
410950,GCA_003639335.1
299808,GCA_000451025.1
592613,GCA_006440155.1
694161,GCA_008681355.1
163856,GCA_000476235.1
592642,GCA_006440415.1
694162,GCA_008681455.1
163871,GCA_000476555.1
341644,GCA_002532975.1
410819,GCA_003636705.1
435207,GCA_004014145.1
277357,GCA_900087665.1
435211,GCA_004014205.1
410782,GCA_003635965.1
277366,GCA_900087935.1
341641,GCA_002532905.1
410761,GCA_003635545.1
341657,GCA_002533225.1
372680,GCA_003060035.1
277347,GCA_900087475.1
277346,GCA_900087465.1
341650,GCA_002533095.1
341685,GCA_002533775.1
341687,GCA_002533825.1
372665,GCA_003059385.1
163758,GCA_000285155.1
410810,GCA_003636525.1
356617,GCA_002832025.1
277387,GCA_900088185.1
372661,GCA_003059305.1
341718,GCA_002534445.1
277384,GCA_900088155.1
277356,GCA_900087595.1
277382,GCA_900088115.1
277385,GCA_900088165.1
277391,GCA_900088225.1
277396,GCA_900088275.1
277352,GCA_900087535.1
341187,GCA_002532605.1
410937,GCA_003639845.1
163816,GCA_000475435.1
435117,GCA_004012355.1
435178,GCA_004013555.1
372667,GCA_003059445.1
341710,GCA_002534295.1
163933,GCA_000688915.1
277380,GCA_900088085.1
435205,GCA_004014105.1
372662,GCA_003059325.1
410954,GCA_003639615.1
592591,GCA_006438425.1
410783,GCA_003635975.1
592597,GCA_006439715.1
592609,GCA_006440025.1
356610,GCA_002831875.1
435185,GCA_004013715.1
341691,GCA_002533905.1
341189,GCA_002532625.1
410862,GCA_003637565.1
372635,GCA_003058755.1
435198,GCA_004013965.1
163764,GCA_000285895.1
410962,GCA_003639965.1
372672,GCA_003059565.1
299795,GCA_000444365.1
247119,GCA_001278525.1
163938,GCA_000689015.1
163940,GCA_000689055.1
341651,GCA_002533105.1
201853,GCA_000401295.1
341700,GCA_002534095.1
341681,GCA_002533695.1
592596,GCA_006439685.1
410797,GCA_003636265.1
163858,GCA_000476275.1
592601,GCA_006439785.1
592636,GCA_006440095.1
203394,GCA_000709945.1
341652,GCA_002533135.1
592600,GCA_006439775.1
372654,GCA_003059165.1
410958,GCA_003639785.1
592629,GCA_006438645.1
254326,GCA_000345865.2
410798,GCA_003636275.1
163887,GCA_000476875.1
592610,GCA_006440045.1
372640,GCA_003058865.1
163841,GCA_000475935.1
592616,GCA_006440265.1
277371,GCA_900087995.1
592641,GCA_006440325.1
277364,GCA_900087885.1
694163,GCA_008681525.1
435145,GCA_004012905.1
163593,GCA_000287835.1
372629,GCA_003058635.1
372669,GCA_003059505.1
410913,GCA_003638585.1
410963,GCA_003639995.1
254319,GCA_000345725.2
277379,GCA_900088075.1
277399,GCA_900088305.1
277390,GCA_900088215.1
277392,GCA_900088235.1
277393,GCA_900088245.1
277360,GCA_900087765.1
277381,GCA_900088095.1
277373,GCA_900088015.1
410778,GCA_003635885.1
372648,GCA_003059025.1
341197,GCA_002532805.1
410920,GCA_003639325.1
163872,GCA_000476575.1
435192,GCA_004013845.1
163753,GCA_000285055.1
423554,GCA_003815475.1
341726,GCA_002534615.1
356637,GCA_002832415.1
592598,GCA_006439735.1
277146,GCA_900086665.1
454338,GCA_004307235.1
372642,GCA_003058905.1
163819,GCA_000475495.1
341699,GCA_002534065.1
163832,GCA_000475755.1
163878,GCA_000476695.1
163894,GCA_000477015.1
201854,GCA_000401315.1
277372,GCA_900088005.1
341721,GCA_002534515.1
299798,GCA_000444725.1
277365,GCA_900087925.1
341658,GCA_002533235.1
313371,GCA_002081955.1
372670,GCA_003059535.1
592638,GCA_006440225.1
592595,GCA_006439655.1
410780,GCA_003635915.1
163934,GCA_000688935.1
592620,GCA_006440395.1
201858,GCA_000401395.1
163891,GCA_000476955.1
341188,GCA_002532615.1
410953,GCA_003639605.1
592639,GCA_006440245.1
435115,GCA_004012315.1
341678,GCA_002533655.1
435139,GCA_004012775.1
372650,GCA_003059065.1
254280,GCA_000344945.2
277358,GCA_900087695.1
341707,GCA_002534225.1
694164,GCA_008681365.1
277400,GCA_900088315.1
277147,GCA_900086675.1
277398,GCA_900088295.1
277369,GCA_900087965.1
277375,GCA_900088035.1
